date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-10-18,139.00,3.5",SATA,SATA,3000,0.046,Seagate,CPL,Seagate 3TB SkyHawk Surveillance HDD 3.5" SATA ST3000VX009
2019-10-18,589.00,?,?,?,8000,0.074,WD,CPL,WD HUH721008ALE604 Ultrastar DC HC510 8TB HDD
2019-10-18,259.00,3.5",SATA,SATA3,6000,0.043,Seagate,CPL,Seagate ST6000VX001 6TB SkyHawk 3.5" SATA3 Surveillance Hard Drive 
2019-10-18,439.00,?,SATA,SATA,8000,0.055,Seagate,CPL,Seagate Barracuda Pro 8TB ST8000DM0004 SATA HDD
2019-10-18,269.00,?,?,?,6000,0.045,WD,CPL,WD WD60EFAX 6TB RED 256MB NAS Hard Drive
2019-10-18,249.00,3.5",SATA,SATA,6000,0.042,WD,CPL,WD WD60EZAZ 6TB BLUE 256MB 3.5" SATA Hard Drive
2019-10-18,689.00,3.5",SATA,SATA,12000,0.057,Seagate,CPL,Seagate ST12000NE0008 12TB IronWolf NAS PRO 3.5" SATA DRIVE
2019-10-18,599.00,3.5",SATA,SATA,12000,0.050,Seagate,CPL,Seagate ST12000VN0008 12TB IronWolf NAS 3.5" SATA DRIVE
2019-10-18,458.00,?,?,?,10000,0.046,WD,CPL,WD WD101PURZ 10TB Purple Surveillance Hard Drive
2019-10-18,89.00,3.5",SATA,SATA3,2000,0.044,Seagate,CPL,Seagate ST2000DM008 Barracuda 2TB 3.5" SATA3 HDD
2019-10-18,385.00,3.5",SATA?,RPM:  7200,8000,0.048,Toshiba,CPL,Toshiba HDWF180UZSVA X300 Performance INT 3.5" 8TB 7200RPM HDD 128MB
2019-10-18,599.00,3.5",SATA?,RPM:  7200,10000,0.060,Toshiba,CPL,Toshiba HDWR11AUZSVA 10TB X300 Performance INT 3.5" 7200RPM HDD 128MB
2019-10-18,348.00,3.5",SATA?,RPM:  5400,8000,0.043,WD,CPL,WD WD80EFAX Red 3.5" 8TB 256MB 5400RPM NAS HDD
2019-10-18,479.00,3.5",SATA,RPM:  7200,8000,0.060,?,CPL,HGST H3IKNAS800012872SWW 0S04012 NAS 8TB 3.5" SATA 7200RPM 128MB HDD
2019-10-18,348.00,3.5",SATA,SATA,8000,0.043,WD,CPL,WD WD81PURZ 8TB 3.5" Purple SATA Surveillance Hard Drive
2019-10-18,829.00,3.5",SATA?,?,14000,0.059,Seagate,CPL,SEAGATE ST14000NE0008 IronWolf Pro 14TB 3.5" NAS HDD
2019-10-18,729.00,3.5",SATA?,?,14000,0.052,Seagate,CPL,SEAGATE ST14000VN0008 IronWolf 14TB 3.5" NAS HDD 
2019-10-18,619.00,3.5",SATA,SATA,12000,0.052,WD,CPL,WD WD121PURZ 12TB 3.5" Purple SATA Surveillance Hard Drive
2019-10-18,749.00,3.5",SATA?,?,12000,0.062,Seagate,CPL,SEAGATE ST12000DM001 BarraCuda Pro 12TB 3.5in HDD
2019-10-18,83.00,3.5",SATA,SATA3,2000,0.042,WD,CPL,WD WD20EZAZ BLUE 2TB 3.5in SATAIII 256MB HDD
2019-10-18,399.00,3.5",SATA,SATA,6000,0.067,Seagate,CPL,Seagate ST6000NE0021 Ironwolf Pro 6TB SATA 3.5in 256MB NAS HDD
2019-10-18,1058.00,?,SATA,SATA,16000,0.066,Seagate,CPL,Seagate ST16000NE000 IRONWOLF PRO 16TB SATA
