price,form,interface,speed,gig,sgig,brand,supplier,comment
142.00,"3.5""",SATA?,?,3000,0.047,WD,CPL,"WD WD30BEFRX Red Plus NAS Hard Drive 3.5"" 3TB"
849.00,"3.5""",SATA,SATA,16000,0.053,Seagate,CPL,"Seagate ST16000VE004 SkyHawk AI 16TB 3.5"" Surveillance SATA HDD"
564.00,"3.5""",SATA,SATA,12000,0.047,WD,CPL,"WD WD122KFBX Red Pro NAS 12TB 3.5"" SATA HDD"
469.00,"3.5""",SATA,SATA,12000,0.039,WD,CPL,"WD WD120EFGX Red Plus NAS 12TB 3.5"" SATA HDD"
489.00,"3.5""",SATA?,?,12000,0.041,WD,CPL,"WD 0F30146 12TB HC520 3.5"" HDD Opened Box New 5Y Warranty"
529.00,"3.5""",SATA,"RPM:  7200",12000,0.044,WD,CPL,"WD WD122PURP Purple Pro 7200RPM 3.5"" SATA HDD 12TB"
419.00,"3.5""",SATA?,?,10000,0.042,WD,CPL,"WD Purple Pro WD102PURP 10TB 3.5"" Surveillance HDD"
1009.00,"3.5""",SATA,SATA,24000,0.042,Seagate,CPL,"Seagate ST24000NT002 24TB Ironwolf Pro 3.5"" SATA NAS Hard Drive"
1199.00,?,SATA,SATA,24000,0.050,WD,CPL,"WD WD241KRYZ Gold Enterprise Class SATA HDD 24TB"
399.00,?,SATA,SATA,8000,0.050,WD,CPL,"WD WD8005FRYZ Gold Enterprise Class SATA HDD 8TB"
251.50,?,SATA,SATA,2000,0.126,WD,CPL,"WD WD2005FBYZ Gold Enterprise Class SATA HDD 2TB"
1286.00,?,SATA,"RPM:  7200",24000,0.054,WD,CPL,"WD 0F62796 WUH722424ALE6L4 Ultrastar DC HC580 24TB 7200RPM SATA Hard Drive"
145.00,?,?,"RPM:  5400",4000,0.036,WD,CPL,"WD WD40EZAX BLUE 5400RPM 256MB Cache Desktop Hard Drive 4TB"
135.00,"3.5""",SATA,SATA,3000,0.045,WD,CPL,"WD WD33PURZ Purple 3.5"" SATA 6Gb/s 256MB Surveillance Hard Drive 3TB"
139.00,"3.5""",SATA,"RPM:  5400",2000,0.070,WD,CPL,"WD WD20EFPX Red Plus 5400RPM 3.5"" SATA Hard Drive 2TB"
719.00,"3.5""",SATA,"RPM:  7200",14000,0.051,WD,CPL,"WD WD142KFGX Red PRO 3.5"" 7200RPM SATA NAS Hard Drive 14TB"
378.00,"3.5""",SATA?,?,8000,0.047,WD,CPL,"WD WD8005FFBX Red Pro NAS 3.5"" Hard Drive 8TB"
259.00,"3.5""",SATA?,?,4000,0.065,WD,CPL,"WD WD4005FFBX Red Pro NAS 3.5"" Hard Drive 4TB"
235.00,"3.5""",SATA,"RPM:  5640",8000,0.029,WD,CPL,"WD WD80EAAZ Blue 5640RPM 3.5"" 256MB SATA Hard Drive 8TB"
324.00,"3.5""",SATA,SATA,4000,0.081,WD,CPL,"WD WD4006FZBX Black 3.5"" SATA Gaming Hard Drive 4TB"
99.00,?,?,?,2000,0.050,Seagate,CPL,"Seagate ST2000VX017 Skyhawk Surveillance Hard Drive 2TB 256MB Cache"
339.00,"3.5""",SATA?,"RPM:  7200",8000,0.042,WD,CPL,"WD Purple Pro WD8002PURP 3.5"" 7200RPM Surveillance HDD 8TB"
399.00,"3.5""",SATA,SATA,8000,0.050,Synology,CPL,"Synology HAT3320-8T Plus Series 3.5"" SATA NAS Hard Drive 8TB"
575.00,"3.5""",SATA,SATA,16000,0.036,Synology,CPL,"Synology HAT3310-16T Plus Series 3.5"" SATA NAS Hard Drive 16TB"
535.00,"3.5""",SATA,SATA,12000,0.045,Synology,CPL,"Synology HAT3310-12T Plus Series 3.5"" SATA NAS Hard Drive 12TB"
279.00,"3.5""",SATA?,?,8000,0.035,WD,CPL,"WD WD80EFPX Red Plus 3.5"" NAS Hard Drive 8TB"
599.00,"3.5""",SATA,SATA,14000,0.043,WD,CPL,"WD WD142PURP Purple Pro 3.5"" SATA III Surveillance Hard Drive 14TB"
482.80,?,?,?,10000,0.048,WD,CPL,"WD WD102PURZ 10TB Purple Surveillance Hard Drive"
692.00,?,SATA,SATA,16000,0.043,Seagate,CPL,"Seagate ST16000NE000 Ironwolf Pro 16TB SATA Hard Drive 3Y Wty Recertified"
949.00,"3.5""",SATA,"RPM:  7200",24000,0.040,Seagate,CPL,"Seagate ST24000NM002H Exos X24 7200RPM 3.5"" SATA Hard Drive 24TB"
105.00,"3.5""",SATA?,?,2000,0.052,WD,CPL,"WD WD23PURZ Purple 3.5"" Surveillance Hard Drive 2TB"
