price,form,interface,speed,gig,sgig,brand,supplier,comment
75,M.2,NVME,?,1000,0.075,Kingston,scorptec,"kingston 1tb ssd_ nv2_ m.2 2280 nvme pcie 4.0_ read up to 3_500mb/s_ write up to 2_100mb/s_ 1.5m hours mtbf_ 320tbw"
79,M.2,NVME,?,1000,0.079,WD,scorptec,"western digital wd 1tb ssd_ wd green sn3000_ m.2 2280 nvme pcie 4.0_ read up to 5000mb/s_ write up to 4200mb/s_ 3d nand qlc_ 1.75m hours mttf_ 150tbw"
205,M.2,NVME,?,2000,0.102,Kingston,scorptec,"kingston 2tb ssd_ kc3000_ m.2 2280 nvme pcie gen4_ read up to 7_000mb/s_ write up to 7_000mb/s_ iops r/w up to 1000/1000k_ 1.8m hours mtbf_ 1.6pbw_ low profile graphene aluminum heat spreader (ps5 compatible)"
179,M.2,NVME,?,2000,0.089,Crucial,scorptec,"crucial 2tb ssd_ p3 plus_ m.2 2280 nvme pcie 4.0_ read up to 5_000mb/s_ write up to 4_200mb/s_ 2m hours mtbf_ 440tbw"
95,M.2,NVME,?,1000,0.095,Crucial,scorptec,"crucial 1tb ssd_ p3 plus_ m.2 2280 nvme pcie 4.0_ read up to 5_000mb/s_ write up to 3_600mb/s_ 2m hours mtbf_ 220tbw"
269,M.2,NVME,?,1000,0.269,Crucial,scorptec,"crucial e100 1tb m.2 2280 nvme pcie 4.0 ssd_ microsoft windows 11 home_ 64 bit_ usb drive_ retail pack"
367,M.2,NVME,?,1000,0.367,Crucial,scorptec,"crucial e100 1tb m.2 2280 nvme pcie 4.0 ssd_ microsoft windows 11 pro_ 64 bit_ usb drive_ retail pack"
195,M.2,NVME,?,2000,0.098,Kingston,scorptec,"kingston 2tb ssd_ nv3_ m.2 nvme pcie 4.0_ read up to 6_000mb/s_ write up to 5_000mb/s_ 3d nand_ 2m hours mtbf_ 640tb tbw"
289,M.2,NVME,?,2000,0.144,Samsung,scorptec,"samsung 2tb ssd_ 990 pro_ m.2 2280 nvme pcie 4.0_ read up to 7_450mb/s_ write up to 6_900mb/s_ random read/write 1_400k/1_550k iops_ 1.5m hours mtbf_ 1_200tbw"
77,M.2,NVME,?,1000,0.077,Crucial,scorptec,"crucial 1tb ssd_ e100_ m.2 2280 nvme pcie 4.0_ read up to 5_000mb/s_ writes up to 4_500mb/s_ 1m hours mtbf_ 80 tbw_ backwards compatible with pcie 3.0"
209,M.2,NVME,?,2000,0.104,Kingston,scorptec,"kingston 2tb ssd_ fury renegade_ m.2 2280 nvme pcie gen4_ read up to 7_300mb/s_ write up to 6_000mb/s_ random r/w up to 1_000_000/1_000_000 iops_ 1.8m hours mtbf_ 2.0pbw_ low profile graphene aluminum heat spreader"
65,M.2,NVME,?,500,0.130,Crucial,scorptec,"crucial 500gb ssd_ p3 plus_ m.2 2280 nvme pcie 4.0_ read up to 4_700mb/s_ write up to 1_900mb/s_ 2m hours mtbf_ 110tbw"
